codigo_interno,valor,frequencia,ativo
1,NADA CONSTATADO,56,True
2,BASTIDOR P DETETOR DESCARRIL.,28,True
3,TIRANTE DE TRAVAÇÃO,12,True
4,FUSÍVEL,12,True
5,CABO,11,True
6,AMPLIFICADOR RX RR 2002 B/C,11,True
7,CONEXÃO TERMINAL,11,True
8,CONEXÃO CABO TRILHO,9,True
9,BOND JUNTA SECA,7,True
10,LÂMPADA,7,True
11,TIRANTE DE OPERAÇÃO,7,True
12,AMPLIFICADOR LINHA RR8102A,7,True
13,RESISTOR,6,True
14,CABO SECUNDÁRIO,6,True
15,TIRANTE DE INDICAÇÃO,5,True
16,FILTRO RECEPTOR RT 6310,5,True
17,CABO DISTRIBUICAO ENERGIA  660V,5,True
18,AMPLIFICADOR RECEPÇÃORR2003B,5,True
19,CONTATO DUPLO CONTROLE,5,True
20,CABO BLOQUEIO INTERTRAV.SUBTERRANEO,4,True
21,CAIXA DE COMANDO MÁQUINA DE CHAVE GRS 5C/5G/55BR,4,True
22,SENSOR,4,True
23,BARRA DE TRAVAÇÃO,4,True
24,PROTETOR DE SURTO,4,True
25,PIRÔMETRO,4,True
26,DETETOR DESCARRILAMENTO VIA RADIO,4,True
27,CARTÃO DE SAÍDA  PO2022,4,True
28,FIAÇÃO,3,True
29,CONCESSIONÁRIA,3,True
30,FILTRO REED TX RR 1240,3,True
31,TRAFO,3,True
32,GRUPO MOTOR GERADOR,3,True
33,RELÉ GRS TRANSMISSOR DE CÓDIGO CT180,3,True
34,AMPLIFICADOR RX RR 2003 B/C,3,True
35,RÁDIO MÓVEL ICF5061,3,True
36,RELÉ,3,True
37,DISJUNTOR A SECO,3,True
38,RELÉ DE LINHA NEUTRO ZS2411,3,True
39,CONTADOR DE EIXOS,3,True
40,FILTRO REED TX RR1240,2,True
41,LINK DE COMUNICAÇÃO,2,True
42,BLOCO TERMINAL,2,True
43,FONTE  DE ALIMENTAÇÃO,2,True
44,JUNTA ISOLADA,2,True
45,CONTROLADOR DE CIRCUITO,2,True
46,CABO REED FDM,2,True
47,BATERIA ESTACIONÁRIA,2,True
48,MOTOR DA MÁQUINA DE CHAVE GRS 55G OU 55BR,2,True
49,ATENUADOR,2,True
50,BOLACHA DE LED AMARELO,2,True
51,CONECTOR,2,True
52,FILTRO REED TX DE FDM RR 1040,2,True
53,CARTÃO VPM,2,True
54,ANTENA OMNIDIRECIONAL BAIXO PERFIL,2,True
55,TERMINAL,2,True
56,DISJUNTOR BAIXA TENSAO,2,True
57,DISJUNTOR CABINE PRIMARIA,2,True
58,ATENUADOR RT 7312,2,True
59,MOTOR ELÉTRICO 110Vcc HW2122,2,True
60,FIBRA ÓPTICA,2,True
61,TRILHOS,2,True
62,FILTRO REED RX RR 2660,2,True
63,MÁQUINA DE CHAVE ELÉTRICA,2,True
64,CONTATOR,2,True
65,FILTRO RECEPTOR RT 6180,2,True
66,FONTE ALIMENTAÇÃO E CARREGADOR,2,True
67,BANCO DE BATERIAS,2,True
68,FILTRO DE VIA RT 7231,2,True
69,CONCESSIONARIA DE ENERGIA,1,True
70,RÁDIO ICF5061 COM KIT PARA DETECTOR DE DESCARRILAMENTO 31 RR JCFRSC/DD,1,True
71,BASE PARA CPU ALTUS MODELO PO6302,1,True
72,USCAMICROPROCESSADA DPCA,1,True
73,BASE ALTUS PO6302,1,True
74,FILTRO REED TX RT 5180,1,True
75,RELÉ DE LINHA DUPLO ZH 5612,1,True
76,CONCESSIONARIA,1,True
77,PLACA SIB,1,True
78,CHAVE DE MOLA,1,True
79,UNIDADE DE SUPERVISAO C.ALTERNADA  USCA,1,True
80,NADA CONSTATADONADA CONSTATADO,1,True
81,RELÉ MODELO SA PARA SINALEIRO FERROVIÁRIO TIPO SEARCHLIGHT,1,True
82,CONDUTOR,1,True
83,AMPLIFICADOR TX RR1002,1,True
84,BATERIA SELADA,1,True
85,ELO FUSÍVEL,1,True
86,MÓDULO DETETOR DESCARRILHAMENTO VIA RÁDIO .,1,True
87,CIRCUITO DE VIA,1,True
88,CIRCUITO DE VIA REED,1,True
89,PARAFUSO,1,True
90,FILTRO REED TX RR 1600,1,True
91,AMPLIFICADOR POTÊNCIA RT 7131,1,True
