codigo_interno,valor,frequencia,ativo
1,33 - CIRCUITO DE VIA COM OCUP. INDEVIDA,1252,True
2,35 - MÁQUINA DE CHAVE INOPERANTE,621,True
3,999 - OUTROS PROBLEMAS DE EE,284,True
4,40 - SINAL INOPERANTE,276,True
5,WS45 - FALTA DE ENERGIA,262,True
6,36 - MÁQUINA DE CHAVE PERDENDO INDICAÇÃO,190,True
7,41 - SINAL APAGADO,159,True
8,TE19 - GRAVADOR DE MANOBRA ISOLADO,152,True
9,152 - SINAL CANCELANDO INDEVIDO,120,True
10,37 - LOCAÇÃO ISOLADA,99,True
11,SN93 - PASSAGEM EM NÍVEL AVARIADA,87,True
12,44 - DETE DESCARRILAM ALARMADO INDEVIDO,80,True
13,SN94 - PASSAGEM EM NÍVEL ABALROADA,78,True
14,45 - DETE DESCARRILAM NÃO RESPONDE CALL ALERT,67,True
15,TE32 - ROMPIMENTO DE FIBRA ÓPTICA,55,True
16,42 - RÁDIO ISOLADO,44,True
17,157 - DESOCUPAÇÃO LONGA,41,True
18,SN76 - SINAL FORA DE FOCO,16,True
19,WS61 - DTQ TRAVADO,14,True
20,158 - OCUPAÇÃO LONGA,10,True
21,46 - HOTBOX / HOTWHELL ALARMADO INDEVIDO,8,True
22,EN18 - COMUNICAÇÃO DEFICIENTE,8,True
23,V999 - Outros Problemas de Via Permanente,6,True
24,34 - CDV NÃO DETECTANDO TREM,6,True
25,WS27 - REPETIDORA VOZ ISOLADA,5,True
26,43 - RÁDIO COM RUÍDO,4,True
27,SN06 - ASPECTO DO SINAL E LEDS NÃO CORRESPONDEM,4,True
28,TE08 - COMPONENTE SISTEMA GRAVAÇÃO DEFEITUOSO,2,True
29,SN82 - SINAL FORA DE PRUMO,2,True
30,EN48 - LÂMPADA DE SINALIZAÇÃO DEFEITUOSA,2,True
31,38 - PAINEL ISOLADO,2,True
32,WS06 - CADEADO DANIFICADO,2,True
33,50 - SINAL COM FOCO FRACO,2,True
34,EN63 - REDE AÉREA IRREGULAR,2,True
35,49 - SINAL COM ASPECTO MENOS RESTRITIVO,2,True
36,SN32 - FIAÇÃO DANIFICADA,2,True
37,WS29 - SENSOR INOPERANTE,1,True
38,EN33 - FALHA EM TESTE DE OPERAÇÃO/FUNCIONAMENTO,1,True
39,48 - HOTBOX ALARMADO BAD SENSOR,1,True
40,EN09 - CABO AÉREO IRREGULAR,1,True
41,SN83 - SINALEIRO IRREGULAR/INADEQUADO,1,True
42,SN54 - POTÊNCIA IRREGULAR,1,True
43,147 - AQUISITOR DE DADOS COM ERRO NO CARTÃO,1,True
44,EN43 - INSTRUME. LEITURA/SINALIZAÇÃO DANIFICADO,1,True
45,47 - HOTBOX/HOTWHELL SIST NÃO GERA ARQU CAMPO,1,True
46,122 - CHAVE COM CORRENTE DE OPERAÇÃO ALTA,1,True
47,WS44 - FIELDLOGGER INOPERANTE,1,True
48,TE16 - FALHA INTEGRIDADE DDS VIA RÁDIO DE CAMPO,1,True
49,WS32 -  TEMPERATURA DESAJUSTADA,1,True
50,IN01 - Risco ou Queda Material no Gab. Linha,1,True
51,51 - LINK DE PROTEÇÃO EM FALHA,1,True
52,FAA - FALHA NA ATIVAÇÃO,1,True
53,EN32 - FALHA EM ALARME,1,True
